fips,gdpPerCapita
36,87456.71728
25,84640.83204
53,80708.33387
6,80183.23097
9,78147.34139
10,74097.97623
17,70179.46968
24,69477.84705
38,69234.98696
2,68777.76323
34,67599.07717
8,67183.65935
27,66292.99811
31,65791.98212
51,64063.62068
15,62701.37967
56,61720.03449
33,61526.47586
19,60984.06509
42,60972.98344
41,60097.2118
46,59820.20262
20,59755.59005
55,58340.61674
39,58177.83011
48,58102.15513
49,58036.74346
13,56865.62346
44,56012.79433
18,55350.70051
37,54848.84179
32,54690.31909
22,53713.23833
29,52673.1663
26,52322.05618
47,51730.59771
50,51421.91373
4,50754.16075
12,49052.80864
23,48174.95095
35,47761.36238
21,47181.83651
40,46162.4726
45,45694.88247
30,45575.84991
1,44729.0373
16,43344.85792
5,42671.40514
54,42220.98317
28,39549.18704
11,105226
