fips,growthRate
48,0.01567
32,0.00987
12,0.01873
13,0.01144
36,-0.00916
34,-0.00068
6,-0.00291
17,-0.0083
53,0.00579
25,-0.00111
35,-0.00158
45,0.01692
8,0.0049
42,-0.00309
47,0.01177
4,0.01282
37,0.01244
41,-0.00381
26,-0.00034
11,0.00448
49,0.01233
51,0.00302
24,-0.00161
16,0.01791
30,0.01482
5,0.00575
54,-0.00584
40,0.00711
10,0.01334
44,-0.00297
27,0.001
21,0.00127
18,0.00285
38,0.0017
56,0.00326
19,0.00088
31,0.00222
23,0.00585
9,0.00079
33,0.00554
1,0.00482
22,-0.00803
29,0.00132
46,0.01501
15,-0.00483
39,-0.0007
28,-0.00324
50,0.00014
2,-0.00082
55,0.00211
20,-0.00026
